;gamintojas;metai;kaina;rida;pavaros;kuras;variklis
3062;Peugeot Boxer;2016;7 400 €;82 000 km;Mechaninė;Dyzelinas;2.0 l., 96kW
3063;Renault Megane;2017;7 400 €;232 000 km;Automatinė;Dyzelinas;1.5 l., 81kW
3064;Subaru XV;2013;7 400 €;158 670 km;Mechaninė;Dyzelinas;2.0 l., 108kW
3065;Audi A3;2010;7 400 €;148 674 km;Mechaninė;Benzinas;1.4 l., 92kW
3066;Volvo XC90;2007;7 400 €;361 000 km;Automatinė;Dyzelinas;2.4 l., 136kW
3067;Volkswagen Golf;2012;7 400 €;132 421 km;Mechaninė;Benzinas;1.4 l., 118kW
3068;Opel Insignia;2014;7 400 €;339 637 km;Mechaninė;Dyzelinas;2.0 l., 103kW
3069;Volvo S60;2014;7 442 €;102 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
3070;Peugeot 5008;2015;7 450 €;270 428 km;Automatinė;Dyzelinas;1.6 l., 85kW
3071;Volkswagen Up;2014;7 450 €;79 588 km;Automatinė;Elektra;60kW
3072;Ford EcoSport;2017;7 450 €;188 000 km;Mechaninė;Benzinas;1.0 l., 92kW
3073;Nissan Qashqai+2;2014;7 450 €;174 436 km;Mechaninė;Dyzelinas;1.5 l., 81kW
3074;Opel Insignia;2014;7 450 €;332 300 km;Automatinė;Dyzelinas;2.0 l., 120kW
3075;Audi Q7;2007;7 450 €;345 108 km;Automatinė;Dyzelinas;3.0 l., 171kW
3076;Opel Insignia;2016;7 450 €;268 800 km;Automatinė;Dyzelinas;1.6 l., 100kW
3077;Volvo V70;2012;7 450 €;292 361 km;Automatinė;Dyzelinas;2.0 l., 120kW
3078;Mitsubishi L200;2007;7 450 €;179 568 km;Mechaninė;Dyzelinas;2.5 l., 100kW
3079;Citroen Jumpy;2010;7 450 €;240 000 km;Mechaninė;Dyzelinas;Nenurodyta
3080;Peugeot 3008;2014;7 450 €;208 000 km;Mechaninė;Dyzelinas;1.6 l., 84kW
3081;Volvo V60;2013;7 450 €;258 400 km;Mechaninė;Dyzelinas;2.0 l., 120kW
3082;Volkswagen Passat Alltrack;2012;7 450 €;310 000 km;Automatinė;Dyzelinas;2.0 l., 125kW
3083;Mazda CX-5;2013;7 450 €;270 000 km;Mechaninė;Dyzelinas;2.2 l., 110kW
3084;Toyota Auris;2011;7 450 €;203 237 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
3085;Toyota Auris;2011;7 450 €;288 332 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
3086;Mazda CX-5;2014;7 450 €;294 000 km;Mechaninė;Dyzelinas;2.2 l., 110kW
3087;Mercedes-Benz ML450;2009;7 490 €;322 300 km;Automatinė;Dyzelinas;4.0 l., 225kW
3088;Mini Countryman;2011;7 490 €;239 205 km;Automatinė;Dyzelinas;105kW
3089;Volvo V70;2014;7 490 €;261 325 km;Mechaninė;Dyzelinas;2.0 l., 133kW
3090;Chevrolet Captiva;2012;7 499 €;225 736 km;Automatinė;Dyzelinas;2.2 l., 135kW
3091;Mazda 6;2014;7 499 €;192 238 km;Automatinė;Dyzelinas;2.2 l., 110kW
3092;Kia Sorento;2010;7 499 €;235 074 km;Automatinė;Dyzelinas;2.2 l., 145kW
3093;Mini Countryman;2014;7 499 €;162 783 km;Automatinė;Dyzelinas;2.0 l., 82kW
3094;Volvo S60;2010;7 499 €;264 200 km;Automatinė;Dyzelinas;2.0 l., 120kW
3095;Toyota Avensis;2014;7 499 €;166 000 km;Mechaninė;Dyzelinas;2.0 l., 93kW
3096;Volvo C70;2012;7 499 €;227 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
3097;Skoda Octavia;2010;7 500 €;237 000 km;Mechaninė;Dyzelinas;2.0 l., 125kW
3098;Mercedes-Benz ML350;2007;7 500 €;219 000 km;Automatinė;Benzinas;3.5 l., 200kW
3099;Kia Sportage;2013;7 500 €;257 000 km;Mechaninė;Dyzelinas;1.7 l., 85kW
3100;Toyota Verso;2014;7 500 €;231 720 km;Mechaninė;Dyzelinas;1.6 l., 82kW
3101;Kia Sorento;2010;7 500 €;249 203 km;Automatinė;Dyzelinas;2.2 l., 145kW
3102;Volvo V70;2013;7 500 €;280 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
3103;Mercedes-Benz GLE250;2017;7 500 €;170 000 km;Automatinė;Dyzelinas;2.1 l., 150kW
3104;Mercedes-Benz E350;2009;7 500 €;234 652 km;Automatinė;Dyzelinas;3.0 l., 170kW
3105;Dacia Duster;2017;7 500 €;240 000 km;Mechaninė;Dyzelinas;Nenurodyta
3106;Mercedes-Benz E220;2010;7 500 €;287 170 km;Automatinė;Dyzelinas;2.2 l., 125kW
3107;Volkswagen Passat;2014;7 500 €;232 580 km;Automatinė;Dyzelinas;2.0 l., 103kW
3108;BMW 118;2014;7 500 €;379 000 km;Automatinė;Dyzelinas;2.0 l., 105kW
3109;BMW 520;2011;7 500 €;244 000 km;Automatinė;Dyzelinas;2.0 l., 135kW
3110;BMW X5;2010;7 500 €;375 356 km;Automatinė;Dyzelinas;3.0 l., 155kW
3111;Volvo S60;2011;7 500 €;213 901 km;Automatinė;Dyzelinas;2.4 l., 151kW
3112;BMW 520;2011;7 500 €;350 712 km;Automatinė;Dyzelinas;2.0 l., 135kW
3113;Lexus RX 400h;2007;7 500 €;216 000 km;Automatinė;Benzinas / elektra;3.3 l., 155kW
3114;Peugeot Partner;2017;7 500 €;90 000 km;Mechaninė;Benzinas;1.2 l., 80kW
3115;Toyota Prius+;2017;7 500 €;307 000 km;Automatinė;Benzinas / elektra;1.8 l., 100kW
3116;Audi A8;2008;7 500 €;257 000 km;Automatinė;Dyzelinas;3.0 l., 171kW
3117;BMW X5;2008;7 500 €;321 000 km;Automatinė;Dyzelinas;3.0 l., 173kW
3118;Volkswagen Touran;2014;7 500 €;190 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
3119;Hyundai i30;2016;7 500 €;230 000 km;Mechaninė;Dyzelinas;1.6 l., 81kW
3120;BMW 318;2014;7 500 €;296 000 km;Mechaninė;Dyzelinas;2.0 l., 105kW
3121;Nissan Juke;2011;7 500 €;197 000 km;Automatinė;Benzinas;1.6 l., 140kW
3122;Audi Q3;2014;7 500 €;149 000 km;Automatinė;Dyzelinas;2.0 l., 130kW
3123;Volvo V60;2012;7 500 €;238 000 km;Automatinė;Dyzelinas;2.4 l., 120kW
3124;Volkswagen Golf;2014;7 500 €;183 701 km;Mechaninė;Benzinas;1.2 l., 63kW
3125;Audi A4;2008;7 500 €;262 663 km;Mechaninė;Benzinas;2.0 l., 155kW
3126;Audi A6;2009;7 500 €;265 000 km;Mechaninė;Benzinas;2.8 l., 140kW
3127;Volkswagen Golf;2015;7 500 €;211 000 km;Automatinė;Elektra, 24 kWh;85kW
3128;Jaguar XF;2009;7 500 €;98 000 km;Automatinė;Dyzelinas;2.7 l., 152kW
3129;Citroen C4 Picasso;2013;7 500 €;243 584 km;Mechaninė;Dyzelinas;1.6 l., 85kW
3130;Audi A5 Sportback;2010;7 500 €;333 775 km;Automatinė;Dyzelinas;2.0 l., 100kW
3131;Land Rover Range Rover Sport;2010;7 500 €;300 000 km;Automatinė;Dyzelinas;3.0 l., 180kW
3132;Audi A3;2006;7 500 €;219 200 km;Automatinė;Dyzelinas;2.0 l., 125kW
3133;Audi A4;2011;7 500 €;200 000 km;Mechaninė;Dyzelinas;3.0 l., 176kW
3134;Audi Q7;2008;7 500 €;295 000 km;Automatinė;Dyzelinas;3.0 l., 176kW
3135;Mazda CX-5;2012;7 500 €;147 100 km;Automatinė;Dyzelinas;2.2 l., 110kW
3136;Hyundai i20 Active;2018;7 500 €;117 000 km;Mechaninė;Benzinas;1.3 l., 55kW
3137;Mercedes-Benz C180;2013;7 500 €;281 000 km;Mechaninė;Dyzelinas;2.1 l., 88kW
3138;Audi A6;2010;7 500 €;269 000 km;Automatinė;Dyzelinas;2.7 l., 140kW
3139;Volvo S60;2011;7 500 €;228 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
3140;Nissan Juke;2013;7 500 €;57 000 km;Automatinė;Benzinas;1.6 l., 86kW
3141;Mercedes-Benz Sprinter;2009;7 500 €;640 000 km;Mechaninė;Dyzelinas;2.2 l., 95kW
3142;Opel Mokka;2015;7 500 €;200 000 km;Mechaninė;Dyzelinas;1.7 l., 96kW
3143;Volkswagen Jetta;2014;7 500 €;128 100 km;Mechaninė;Benzinas;2.0 l., 84kW
3144;Peugeot 308;2014;7 500 €;85 000 km;Mechaninė;Benzinas;1.2 l., 96kW
3145;Volvo S80;2012;7 500 €;256 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
3146;Mazda 6;2014;7 500 €;239 000 km;Mechaninė;Dyzelinas;2.2 l., 110kW
3147;Fiat Ducato;2009;7 500 €;302 000 km;Automatinė;Dyzelinas;3.0 l., 116kW
3148;Jeep Grand Cherokee;2015;7 500 €;162 922 km;Automatinė;Dyzelinas;3.0 l., 184kW
3149;Renault Kangoo;2019;7 502 €;178 000 km;Mechaninė;Dyzelinas;1.5 l., 66kW
3150;Skoda Rapid;2019;7 502 €;169 000 km;Mechaninė;Benzinas;1.0 l., 70kW
3151;Audi A4;2009;7 550 €;222 665 km;Automatinė;Dyzelinas;2.0 l., 105kW
3152;Volkswagen Passat;2014;7 550 €;231 110 km;Mechaninė;Dyzelinas;2.0 l., 103kW
3153;Citroen C4 Cactus;2016;7 550 €;142 211 km;Automatinė;Benzinas;1.2 l., 60kW
3154;Volvo V40;2014;7 550 €;270 000 km;Mechaninė;Dyzelinas;2.0 l., 140kW
3155;Renault Kadjar;2015;7 550 €;164 000 km;Mechaninė;Dyzelinas;1.5 l., 81kW
3156;Opel Astra;2017;7 550 €;232 000 km;Mechaninė;Dyzelinas;1.6 l., 81kW
3157;BMW X1;2010;7 550 €;259 000 km;Automatinė;Dyzelinas;2.0 l., 130kW
3158;BMW 520;2011;7 599 €;325 845 km;Automatinė;Dyzelinas;2.0 l., 135kW
3159;Citroen DS4;2016;7 600 €;114 670 km;Mechaninė;Benzinas;1.2 l., 96kW
3160;Mercedes-Benz B180;2012;7 600 €;210 000 km;Automatinė;Dyzelinas;1.8 l., 80kW
3161;Toyota RAV4;2010;7 600 €;242 175 km;Mechaninė;Benzinas;2.0 l., 112kW
3162;Nissan Qashqai;2011;7 600 €;219 147 km;Automatinė;Dyzelinas;2.0 l., 110kW
3163;Volvo XC60;2008;7 600 €;287 870 km;Mechaninė;Dyzelinas;2.4 l., 136kW
3164;Kia Sportage;2012;7 600 €;144 000 km;Mechaninė;Dyzelinas;Nenurodyta
3165;Volkswagen Tiguan;2008;7 600 €;301 012 km;Mechaninė;Dyzelinas;2.0 l., 103kW
3166;Volvo V40;2013;7 600 €;336 269 km;Mechaninė;Dyzelinas;1.6 l., 85kW
3167;Audi A3;2011;7 600 €;190 535 km;Mechaninė;Benzinas;1.2 l., 77kW
3168;Subaru Forester;2013;7 600 €;235 000 km;Automatinė;Benzinas;2.0 l., 177kW
3169;Volkswagen Passat;2013;7 600 €;230 250 km;Mechaninė;Dyzelinas;1.6 l., 77kW
3170;Mercedes-Benz E350;2010;7 650 €;300 000 km;Automatinė;Dyzelinas;3.0 l., 170kW
3171;Peugeot 3008;2016;7 650 €;168 000 km;Mechaninė;Dyzelinas;1.6 l., 88kW
3172;Toyota Prius;2011;7 650 €;233 000 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
3173;Jeep Cherokee;1998;7 650 €;285 468 km;Mechaninė;Dyzelinas;2.5 l., 85kW
3174;Citroen C4 Picasso;2016;7 650 €;176 980 km;Mechaninė;Dyzelinas;1.6 l., 88kW
3175;Skoda Octavia;2015;7 650 €;216 836 km;Automatinė;Dyzelinas;2.0 l., 110kW
3176;Volkswagen Golf;2016;7 650 €;198 884 km;Mechaninė;Dyzelinas;1.6 l., 81kW
3177;BMW 320;2009;7 650 €;280 000 km;Automatinė;Dyzelinas;2.0 l., 130kW
3178;Peugeot 5008;2014;7 650 €;206 000 km;Automatinė;Dyzelinas;Nenurodyta
3179;Toyota Prius;2010;7 650 €;245 000 km;Automatinė;Benzinas / elektra;1.8 l., 73kW
3180;Volkswagen Sharan;2012;7 650 €;230 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
3181;Mercedes-Benz E350;2011;7 650 €;393 680 km;Automatinė;Dyzelinas;3.0 l., 195kW
3182;BMW 216 Gran Tourer;2016;7 650 €;235 000 km;Mechaninė;Dyzelinas;1.5 l., 85kW
3183;Volvo XC90;2010;7 650 €;208 000 km;Automatinė;Dyzelinas;2.4 l., 136kW
3184;Volkswagen CC;2013;7 650 €;187 920 km;Automatinė;Benzinas;2.0 l., 147kW
3185;Renault Trafic;2020;7 650 €;252 400 km;Mechaninė;Dyzelinas;1.6 l., 70kW
3186;Toyota Auris;2014;7 650 €;245 000 km;Mechaninė;Benzinas;1.6 l., 97kW
3187;Volvo V60;2013;7 680 €;278 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
3188;BMW 530;2012;7 680 €;302 532 km;Automatinė;Dyzelinas;3.0 l., 180kW
3189;Peugeot 308;2020;7 699 €;170 000 km;Mechaninė;Dyzelinas;1.5 l., 96kW
3190;Volvo XC70;2009;7 699 €;290 000 km;Automatinė;Dyzelinas;2.4 l., 136kW
3191;Renault Kangoo;2017;7 699 €;88 200 km;Mechaninė;Dyzelinas;1.5 l., 66kW
3192;Citroen Jumper;2016;7 699 €;160 000 km;Mechaninė;Dyzelinas;2.0 l., 81kW
3193;Volkswagen Sharan;2010;7 699 €;251 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
3194;Nissan Qashqai+2;2012;7 700 €;248 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
3195;Mercedes-Benz GLK220;2011;7 700 €;290 000 km;Automatinė;Dyzelinas;2.2 l., 125kW
3196;Peugeot Expert;2014;7 700 €;340 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
3197;Citroen Berlingo;2017;7 700 €;85 645 km;Mechaninė;Dyzelinas;1.6 l., 73kW
3198;Volvo XC70;2012;7 700 €;181 365 km;Automatinė;Benzinas;3.2 l., 179kW
3199;Kia Sportage;2014;7 700 €;264 070 km;Mechaninė;Dyzelinas;1.7 l., 85kW
3200;Ford Mondeo;2016;7 700 €;300 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
3201;Volkswagen Touareg;2009;7 700 €;226 375 km;Automatinė;Dyzelinas;3.0 l., 176kW
3202;Lexus RX 350;2007;7 700 €;128 651 km;Automatinė;Benzinas;3.5 l., 203kW
3203;Nissan Juke;2011;7 700 €;178 000 km;Automatinė;Benzinas;1.6 l., 86kW
3204;Skoda Fabia;2019;7 700 €;186 300 km;Mechaninė;Benzinas;1.0 l., 81kW
3205;Volvo V40;2014;7 700 €;259 793 km;Mechaninė;Dyzelinas;1.6 l., 84kW
3206;Land Rover Discovery Sport;2016;7 700 €;170 000 km;Mechaninė;Dyzelinas;2.0 l., 110kW
3207;Aixam City;2022;7 700 €;18 200 km;Automatinė;Dyzelinas;0.5 l., 6kW
3208;BMW 320;2013;7 700 €;321 200 km;Automatinė;Dyzelinas;Nenurodyta
3209;Nissan Juke;2012;7 700 €;226 360 km;Mechaninė;Dyzelinas;1.5 l., 81kW
3210;Volkswagen Passat;2013;7 700 €;284 355 km;Mechaninė;Dyzelinas;1.6 l., 77kW
3211;Nissan Juke;2013;7 700 €;246 000 km;Mechaninė;Dyzelinas;1.5 l., 81kW
3212;Nissan Leaf;2017;7 700 €;84 300 km;Automatinė;Elektra, 30 kWh;80kW
3213;Ford Kuga;2014;7 700 €;211 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
3214;Toyota Verso;2016;7 700 €;240 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
3215;BMW 216 Active Tourer;2016;7 700 €;265 000 km;Mechaninė;Dyzelinas;1.5 l., 85kW
3216;BMW 520;2012;7 700 €;299 500 km;Automatinė;Benzinas;2.0 l., 135kW
3217;BMW 116;2015;7 700 €;218 000 km;Mechaninė;Benzinas;1.5 l., 80kW
3218;Nissan Qashqai;2015;7 700 €;230 548 km;Mechaninė;Dyzelinas;1.6 l., 96kW
3219;Volvo XC70;2007;7 700 €;324 859 km;Automatinė;Dyzelinas;2.4 l., 136kW
3220;Opel Insignia;2015;7 700 €;Nenurodyta;Mechaninė;Dyzelinas;2.0 l., 103kW
3221;Volkswagen Passat;2011;7 700 €;279 518 km;Automatinė;Dyzelinas;2.0 l., 103kW
3222;Volvo V70;2015;7 750 €;237 491 km;Mechaninė;Dyzelinas;2.0 l., 133kW
3223;Mazda CX-5;2012;7 750 €;204 000 km;Mechaninė;Dyzelinas;2.2 l., 111kW
3224;Peugeot 5008;2015;7 750 €;185 494 km;Mechaninė;Dyzelinas;1.6 l., 85kW
3225;Mercedes-Benz C280;2008;7 750 €;163 000 km;Automatinė;Benzinas;3.0 l., 170kW
3226;Volvo XC60;2009;7 750 €;290 000 km;Automatinė;Dyzelinas;2.4 l., 129kW
3227;Chevrolet Captiva;2012;7 750 €;253 657 km;Automatinė;Dyzelinas;2.2 l., 135kW
3228;Opel Zafira Tourer;2012;7 750 €;199 000 km;Automatinė;Dyzelinas;2.0 l., 121kW
3229;Volkswagen Golf;2014;7 750 €;265 000 km;Automatinė;Dyzelinas;1.6 l., 77kW
3230;Toyota Yaris;2014;7 750 €;204 467 km;Automatinė;Benzinas / elektra;1.5 l., 55kW
3231;Volvo V60;2017;7 750 €;290 000 km;Mechaninė;Dyzelinas;2.0 l., 88kW
3232;Volvo XC70;2011;7 750 €;300 000 km;Automatinė;Dyzelinas;2.4 l., 120kW
3233;Volvo XC70;2008;7 750 €;268 946 km;Automatinė;Dyzelinas;2.4 l., 136kW
3234;Volkswagen Multivan;2003;7 750 €;296 042 km;Mechaninė;Dyzelinas;2.5 l., 96kW
3235;Volvo XC90;2008;7 750 €;286 700 km;Automatinė;Dyzelinas;2.4 l., 136kW
3236;Mini Countryman S;2014;7 777 €;150 000 km;Automatinė;Benzinas;1.6 l., 135kW
3237;Mercedes-Benz S500;2001;7 777 €;228 897 km;Automatinė;Benzinas;5.0 l., 225kW
3238;Kia cee'd;2013;7 777 €;100 000 km;Mechaninė;Dyzelinas;1.4 l., 66kW
3239;Volvo XC70;2008;7 777 €;300 000 km;Automatinė;Dyzelinas;2.4 l., 136kW
3240;Opel Insignia;2016;7 777 €;191 777 km;Mechaninė;Dyzelinas;2.0 l., 125kW
3241;Opel Zafira Tourer;2015;7 799 €;198 434 km;Mechaninė;Dyzelinas;2.0 l., 125kW
3242;Volkswagen Jetta;2012;7 799 €;196 652 km;Automatinė;Dyzelinas;2.0 l., 103kW
3243;Ford Transit;2011;7 799 €;242 534 km;Mechaninė;Dyzelinas;2.2 l., 63kW
3244;Mercedes-Benz C250;2015;7 799 €;305 681 km;Automatinė;Dyzelinas;2.1 l., 150kW
3245;Subaru XV;2013;7 799 €;161 086 km;Mechaninė;Dyzelinas;2.0 l., 108kW
3246;Opel Zafira Tourer;2016;7 799 €;232 000 km;Automatinė;Dyzelinas;2.0 l., 96kW
3247;Nissan Leaf;2015;7 799 €;67 640 km;Automatinė;Elektra, 24 kWh;80kW
3248;Volkswagen Golf;2016;7 800 €;223 293 km;Mechaninė;Dyzelinas;1.6 l., 81kW
3249;Audi Q7;2008;7 800 €;300 000 km;Automatinė;Dyzelinas;3.0 l., 171kW
3250;Skoda Octavia;2015;7 800 €;309 362 km;Automatinė;Dyzelinas;1.6 l., 77kW
3251;Toyota Auris;2015;7 800 €;246 689 km;Mechaninė;Dyzelinas;1.6 l., 82kW
3252;Mitsubishi Outlander;2013;7 800 €;178 000 km;Mechaninė;Dyzelinas;2.4 l., 110kW
3253;Volvo XC60;2011;7 800 €;348 526 km;Automatinė;Dyzelinas;2.4 l., 120kW
3254;Volvo XC90;2007;7 800 €;327 317 km;Automatinė;Dyzelinas;2.4 l., 136kW
3255;Audi A6;2012;7 800 €;236 840 km;Automatinė;Dyzelinas;2.0 l., 130kW
3256;Audi A4;2012;7 800 €;340 000 km;Mechaninė;Dyzelinas;2.0 l., 130kW
3257;Volvo XC90;2007;7 800 €;286 378 km;Automatinė;Benzinas;3.2 l., 175kW
3258;Volkswagen Polo;2012;7 800 €;212 000 km;Automatinė;Benzinas;1.4 l., 132kW
3259;Mercedes-Benz Sprinter;2014;7 800 €;365 000 km;Mechaninė;Dyzelinas;2.1 l., 120kW
3260;Toyota Yaris;2019;7 804 €;67 000 km;Automatinė;Benzinas / elektra;1.5 l., 54kW
3261;Renault Kangoo;2017;7 804 €;245 707 km;Mechaninė;Dyzelinas;1.5 l., 66kW
3262;BMW X1;2010;7 850 €;297 150 km;Automatinė;Dyzelinas;2.0 l., 150kW
3263;Citroen DS5;2013;7 850 €;272 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
3264;Mini Countryman S;2012;7 850 €;219 852 km;Automatinė;Dyzelinas;2.0 l., 105kW
3265;Ford Transit;2014;7 865 €;203 000 km;Mechaninė;Dyzelinas;2.2 l., 92kW
3266;Ford Focus;2019;7 865 €;211 000 km;Mechaninė;Benzinas;1.0 l., 74kW
3267;Fiat Ducato;2010;7 890 €;247 000 km;Automatinė;Dyzelinas;3.0 l., 116kW
3268;BMW 525;2010;7 899 €;245 175 km;Mechaninė;Dyzelinas;3.0 l., 150kW
3269;Mercedes-Benz E220;2010;7 899 €;326 633 km;Automatinė;Dyzelinas;2.2 l., 125kW
3270;Peugeot 3008;2014;7 900 €;190 000 km;Mechaninė;Dyzelinas;1.6 l., 84kW
3271;Peugeot Expert;2018;7 900 €;243 760 km;Mechaninė;Dyzelinas;Nenurodyta
3272;Citroen Berlingo;2017;7 900 €;137 238 km;Mechaninė;Dyzelinas;1.6 l., 73kW
3273;Mercedes-Benz GLK220;2009;7 900 €;280 000 km;Automatinė;Dyzelinas;2.1 l., 125kW
3274;Skoda Rapid;2018;7 900 €;102 389 km;Mechaninė;Benzinas;1.0 l., 81kW
3275;Audi A5;2008;7 900 €;228 000 km;Mechaninė;Dyzelinas;3.0 l., 176kW
3276;Volkswagen Touran;2017;7 900 €;232 000 km;Automatinė;Dyzelinas;Nenurodyta
3277;Peugeot 308;2017;7 900 €;157 000 km;Automatinė;Benzinas;1.2 l., 96kW
3278;BMW 320;2011;7 900 €;226 000 km;Automatinė;Dyzelinas;2.0 l., 105kW
3279;Mercedes-Benz GLK220;2010;7 900 €;311 665 km;Automatinė;Dyzelinas;2.1 l., 120kW
3280;BMW 520;2011;7 900 €;242 776 km;Mechaninė;Dyzelinas;2.0 l., 135kW
3281;BMW 325;2010;7 900 €;221 053 km;Mechaninė;Dyzelinas;3.0 l., 145kW
3282;Audi A6;2011;7 900 €;315 040 km;Mechaninė;Dyzelinas;2.0 l., 125kW
3283;Citroen C4 Cactus;2014;7 900 €;183 000 km;Automatinė;Dyzelinas;1.6 l., 68kW
3284;Peugeot Expert;2012;7 900 €;309 000 km;Mechaninė;Dyzelinas;2.0 l., 94kW
3285;Volvo XC70;2010;7 900 €;281 400 km;Automatinė;Dyzelinas;2.4 l., 151kW
3286;Ford EcoSport;2018;7 900 €;186 000 km;Mechaninė;Dyzelinas;1.5 l., 74kW
3287;BMW 530 Gran Turismo;2009;7 900 €;210 000 km;Automatinė;Dyzelinas;3.0 l., 180kW
3288;Volvo S60;2015;7 900 €;300 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
3289;Toyota Land Cruiser;2005;7 900 €;455 342 km;Automatinė;Dyzelinas;3.0 l., 122kW
3290;Volkswagen Polo;2019;7 900 €;229 150 km;Mechaninė;Dyzelinas;1.6 l., 59kW
3291;BMW 320;2014;7 900 €;316 040 km;Automatinė;Dyzelinas;2.0 l., 135kW
3292;Nissan Navara;2010;7 900 €;345 000 km;Automatinė;Dyzelinas;2.5 l., 140kW
3293;Audi A4;2012;7 900 €;335 485 km;Automatinė;Dyzelinas;3.0 l., 150kW
3294;Ford Kuga;2013;7 900 €;183 400 km;Mechaninė;Benzinas;1.6 l., 110kW
3295;Mercedes-Benz GLK350;2009;7 900 €;279 632 km;Automatinė;Dyzelinas;3.0 l., 165kW
3296;BMW 530;2011;7 900 €;230 000 km;Automatinė;Benzinas;3.0 l., 150kW
3297;Volvo V60;2013;7 900 €;205 000 km;Mechaninė;Dyzelinas;1.6 l., 84kW
3298;Opel Insignia;2015;7 900 €;286 681 km;Automatinė;Dyzelinas;2.0 l., 96kW
3299;Volvo V60;2013;7 900 €;240 000 km;Mechaninė;Dyzelinas;1.6 l., 84kW
3300;Audi A6;2010;7 900 €;276 953 km;Automatinė;Dyzelinas;3.0 l., 176kW
3301;Audi A6;2010;7 900 €;351 180 km;Automatinė;Dyzelinas;2.7 l., 140kW
3302;Volkswagen Tiguan;2011;7 900 €;160 000 km;Mechaninė;Benzinas;1.4 l., 90kW
3303;BMW 520;2011;7 900 €;328 000 km;Automatinė;Dyzelinas;2.0 l., 135kW
3304;Skoda Fabia;2020;7 900 €;159 000 km;Mechaninė;Benzinas;1.0 l., 70kW
3305;BMW X3;2011;7 900 €;310 000 km;Automatinė;Dyzelinas;2.0 l., 135kW
3306;Skoda Octavia;2010;7 900 €;233 851 km;Mechaninė;Dyzelinas;1.6 l., 77kW
3307;Skoda Rapid;2014;7 900 €;212 000 km;Automatinė;Benzinas;1.4 l., 90kW
3308;Volkswagen Touran;2015;7 900 €;246 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
3309;Audi A6;2009;7 900 €;380 976 km;Automatinė;Dyzelinas;2.7 l., 176kW
3310;Volkswagen Passat;2015;7 950 €;300 000 km;Mechaninė;Dyzelinas;1.6 l., 88kW
3311;BMW X1;2010;7 950 €;270 000 km;Automatinė;Dyzelinas;2.0 l., 150kW
3312;Volkswagen Touran;2013;7 950 €;337 000 km;Automatinė;Dyzelinas;Nenurodyta
3313;Opel Zafira;2014;7 950 €;250 000 km;Mechaninė;Dyzelinas;1.6 l., 100kW
3314;Opel Insignia;2015;7 950 €;279 658 km;Automatinė;Dyzelinas;2.0 l., 143kW
3315;Audi A5 Sportback;2011;7 950 €;159 034 km;Mechaninė;Dyzelinas;2.0 l., 125kW
3316;Volkswagen Golf;2013;7 950 €;118 000 km;Mechaninė;Benzinas;1.2 l., 63kW
3317;Chevrolet Captiva;2012;7 950 €;252 000 km;Mechaninė;Dyzelinas;2.2 l., 135kW
3318;Opel Insignia;2014;7 950 €;178 000 km;Automatinė;Dyzelinas;2.0 l., 143kW
3319;Mazda CX-5;2015;7 950 €;252 700 km;Mechaninė;Dyzelinas;2.2 l., 110kW
3320;Opel Insignia;2015;7 950 €;260 000 km;Automatinė;Dyzelinas;2.0 l., 96kW
3321;Volvo V60;2011;7 950 €;244 000 km;Automatinė;Dyzelinas;2.4 l., 158kW
3322;Opel Astra;2016;7 950 €;134 946 km;Mechaninė;Dyzelinas;1.6 l., 81kW
3323;Volvo S60;2013;7 950 €;120 000 km;Automatinė;Dyzelinas;1.6 l., 84kW
3324;Peugeot 308;2017;7 950 €;174 000 km;Automatinė;Dyzelinas;1.6 l., 88kW
3325;Ford Kuga;2014;7 950 €;310 211 km;Automatinė;Dyzelinas;2.0 l., 103kW
3326;Hyundai Santa Fe;2010;7 950 €;201 000 km;Automatinė;Dyzelinas;2.2 l., 145kW
3327;Volkswagen Golf;2013;7 950 €;269 000 km;Automatinė;Dyzelinas;1.6 l., 77kW
3328;BMW 520;2011;7 950 €;308 300 km;Mechaninė;Dyzelinas;2.0 l., 135kW
3329;Audi A4;2013;7 950 €;272 000 km;Mechaninė;Dyzelinas;2.0 l., 110kW
3330;Opel Ampera;2012;7 950 €;266 700 km;Automatinė;Benzinas / elektra;1.4 l., 111kW
