gamintojas;metai;kaina;rida;pavaros;kuras;kW
6;2019;17800.0;239500.0;1;1;143.0
3;2018;17999.0;95700.0;1;0;132.0
8;2019;18200.0;57828.0;1;0;85.0
27;2018;18450.0;102312.0;1;0;143.0
2;2014;18950.0;227000.0;1;1;230.0
6;2023;19000.0;13457.0;1;0;320.0
6;2013;19250.0;298000.0;1;1;190.0
1;2019;19350.0;147624.0;1;1;135.0
14;2021;19500.0;53400.0;1;0;116.0
8;2018;19500.0;82000.0;1;0;85.0
8;2019;19550.0;107897.0;1;3;72.0
3;2020;19750.0;135890.0;1;0;110.0
2;2015;19900.0;240500.0;1;0;331.0
6;2015;20300.0;163723.0;1;0;180.0
0;2019;20700.0;236123.0;0;1;140.0
0;2013;20800.0;76200.0;1;1;180.0
3;2019;20900.0;76813.0;1;0;140.0
5;2020;20900.0;144279.0;1;1;110.0
3;2021;21000.0;18500.0;1;-1;110.0
1;2018;21250.0;130282.0;1;0;110.0
2;2017;21500.0;235311.0;1;1;110.0
2;2015;21500.0;196000.0;1;1;160.0
3;2018;21650.0;101428.0;1;1;110.0
5;2018;21900.0;147894.0;1;1;140.0
4;2020;22000.0;50000.0;1;-1;100.0
21;2017;22900.0;165000.0;1;1;130.0
3;2019;23050.0;99660.0;1;1;110.0
0;2015;23499.0;265000.0;1;1;190.0
3;2018;23500.0;131733.0;1;1;140.0
3;2020;23900.0;150744.0;1;1;140.0
1;2019;23900.0;64300.0;1;0;140.0
3;2020;24000.0;154226.0;1;1;140.0
1;2022;24199.0;20500.0;1;1;110.0
3;2020;24450.0;147847.0;1;1;140.0
3;2020;24450.0;157092.0;1;1;140.0
3;2020;24500.0;149702.0;1;1;140.0
29;2021;24750.0;66527.0;1;0;140.0
8;2020;24900.0;49000.0;1;0;129.0
3;2019;24950.0;132268.0;1;1;140.0
3;2019;24950.0;103429.0;1;1;140.0
2;2021;25000.0;40000.0;1;-1;220.0
8;2021;25400.0;87500.0;1;0;129.0
3;2020;25900.0;137101.0;1;1;110.0
2;2019;26300.0;116000.0;1;0;185.0
3;2020;26500.0;106784.0;1;0;110.0
0;2015;26950.0;230000.0;1;1;190.0
0;2018;26999.0;112000.0;1;0;185.0
3;2021;27300.0;100668.0;1;0;110.0
9;2017;27500.0;181500.0;1;1;177.0
1;2019;27900.0;154630.0;1;1;140.0
31;2014;28000.0;202000.0;1;0;350.0
6;2021;28000.0;32000.0;1;1;110.0
9;2015;28300.0;205000.0;1;1;183.0
0;2016;28800.0;208000.0;1;0;331.0
13;2020;28900.0;74500.0;1;3;135.0
1;2019;29350.0;125003.0;1;0;140.0
1;2020;29350.0;156352.0;1;1;140.0
0;2020;29490.0;34600.0;1;3;162.0
5;2020;29700.0;135000.0;1;1;140.0
6;2014;29800.0;122392.0;1;1;190.0
5;2018;29910.0;49854.0;1;1;140.0
31;2014;30000.0;214000.0;1;5;350.0
5;2019;30500.0;87700.0;1;0;187.0
9;2013;31000.0;50000.0;1;0;375.0
22;2021;31200.0;125000.0;1;0;214.0
8;2013;31500.0;327000.0;1;1;200.0
25;2015;31900.0;211200.0;1;1;190.0
0;2016;31990.0;211500.0;1;1;235.0
6;2024;32400.0;700.0;1;1;143.0
0;2021;32900.0;37000.0;1;3;190.0
26;2019;33250.0;40000.0;1;0;343.0
30;2019;33999.0;105000.0;1;-1;391.0
2;2019;34700.0;91000.0;1;0;260.0
6;2018;35400.0;112000.0;1;3;235.0
3;2017;35900.0;167606.0;1;1;150.0
6;2017;36000.0;140000.0;1;0;180.0
2;2016;36300.0;236228.0;1;1;200.0
6;2019;37999.0;121355.0;1;1;210.0
0;2022;43200.0;3200.0;1;0;185.0
6;2018;46700.0;104000.0;1;0;335.0
2;2021;55000.0;101000.0;1;1;210.0
0;2020;56000.0;61000.0;1;0;390.0
0;2020;56500.0;180000.0;1;1;195.0
0;2020;56750.0;134000.0;1;3;290.0
25;2017;65000.0;109000.0;1;0;324.0
0;2019;65000.0;85100.0;1;0;250.0
6;2023;76000.0;15000.0;1;3;230.0
24;2022;79990.0;23000.0;1;0;257.0
6;2021;83500.0;36185.0;1;1;210.0
6;2021;95000.0;40000.0;1;3;370.0
6;2021;133000.0;97000.0;1;3;320.0
2;1999;100.0;320229.0;0;0;74.0
4;2004;250.0;199233.0;1;0;155.0
29;2012;250.0;200000.0;0;1;55.0
5;2004;300.0;350000.0;1;5;154.0
12;2012;450.0;162268.0;0;0;63.0
3;2007;500.0;358000.0;1;1;77.0
4;2006;500.0;341211.0;0;1;66.0
0;2003;500.0;390000.0;1;1;150.0
12;2008;500.0;166521.0;1;0;85.0
26;2004;550.0;150000.0;0;0;96.0
8;2007;550.0;500000.0;0;1;100.0
0;1999;580.0;300000.0;0;5;125.0
17;2006;590.0;245000.0;0;0;77.0
2;1987;595.0;137000.0;0;0;66.0
12;2004;600.0;522391.0;0;1;92.0
26;2013;600.0;279121.0;0;1;103.0
18;2008;630.0;140000.0;0;1;65.0
27;2008;650.0;245000.0;0;1;105.0
12;2004;650.0;213000.0;1;0;74.0
3;2007;650.0;212000.0;0;1;103.0
26;2006;680.0;187700.0;0;0;74.0
2;1991;680.0;279800.0;0;0;85.0
26;2006;700.0;222000.0;1;0;107.0
0;1999;750.0;240000.0;1;5;110.0
3;2001;750.0;240000.0;1;1;85.0
12;2007;750.0;385000.0;0;1;88.0
26;2008;790.0;285000.0;0;1;81.0
5;2006;800.0;293014.0;0;1;100.0
6;2002;800.0;330440.0;1;1;184.0
14;2014;800.0;300000.0;0;5;59.0
2;1999;850.0;406000.0;0;1;81.0
3;2003;850.0;350000.0;0;1;96.0
0;2003;850.0;300000.0;0;1;85.0
27;2006;900.0;342000.0;0;1;81.0
2;1997;900.0;180000.0;0;5;92.0
5;2000;900.0;380000.0;0;1;103.0
3;2002;950.0;245112.0;1;5;74.0
20;2004;950.0;314000.0;0;5;100.0
11;2007;950.0;280000.0;0;1;88.0
3;1997;950.0;168786.0;0;0;74.0
8;2007;950.0;179000.0;0;1;93.0
5;2002;980.0;328888.0;1;1;120.0
12;2005;980.0;245323.0;0;1;74.0
14;2002;990.0;267777.0;0;5;84.0
13;2003;990.0;260000.0;0;0;61.0
23;2007;999.0;162077.0;1;1;70.0
12;2009;999.0;340000.0;0;1;74.0
26;2000;1000.0;380000.0;0;1;66.0
13;2007;1000.0;360000.0;0;1;103.0
17;2005;1000.0;297500.0;0;0;69.0
12;2004;1000.0;313875.0;0;1;92.0
5;2005;1000.0;330753.0;0;1;80.0
1;2016;1000.0;250632.0;0;0;63.0
3;2005;1000.0;290000.0;0;1;77.0
6;2003;1000.0;248000.0;1;1;105.0
20;2011;1000.0;270860.0;0;1;66.0
32;2012;1000.0;338044.0;1;1;130.0
2;1997;1000.0;182235.0;0;0;74.0
12;2005;1050.0;286505.0;1;1;88.0
26;2003;1050.0;396000.0;0;1;85.0
20;2001;1050.0;165000.0;0;0;79.0
3;2000;1100.0;240100.0;0;0;85.0
12;2008;1100.0;340222.0;0;1;74.0
3;2007;1100.0;279272.0;0;1;77.0
1;2010;1100.0;268709.0;0;0;51.0
6;2003;1100.0;278200.0;0;1;105.0
29;2002;1100.0;370756.0;0;1;81.0
33;1976;1100.0;80000.0;0;0;55.0
0;2003;1111.0;320705.0;1;1;110.0
26;2005;1150.0;304343.0;0;1;96.0
26;2008;1175.0;280000.0;0;1;85.0
3;2000;1199.0;156000.0;0;0;55.0
3;2004;1199.0;270000.0;0;1;132.0
2;1997;1199.0;300000.0;0;1;81.0
5;2003;1200.0;401411.0;1;1;120.0
2;2006;1200.0;252877.0;1;0;130.0
12;2009;1200.0;246467.0;0;1;96.0
5;2001;1200.0;355100.0;1;5;184.0
26;2002;1200.0;206600.0;0;0;51.0
6;2006;1200.0;210000.0;0;0;70.0
3;2001;1200.0;345000.0;0;1;74.0
0;2000;1200.0;444000.0;0;5;110.0
20;2019;1200.0;132083.0;0;1;66.0
20;2006;1200.0;175000.0;0;1;63.0
17;2007;1250.0;200000.0;0;0;80.0
3;2003;1250.0;265000.0;0;1;74.0
12;2006;1250.0;300100.0;0;5;66.0
20;2004;1295.0;335400.0;0;1;88.0
12;2001;1299.0;240000.0;0;0;92.0
4;2002;1300.0;195745.0;1;0;80.0
6;2003;1300.0;300000.0;0;1;105.0
1;2009;1300.0;225000.0;0;0;90.0
16;2006;1300.0;149440.0;1;0;48.0
8;2005;1300.0;232000.0;0;0;110.0
21;2007;1300.0;349214.0;1;1;100.0
12;2007;1348.0;380000.0;0;1;74.0
3;2001;1350.0;258000.0;0;1;96.0
2;2000;1350.0;270000.0;0;1;81.0
3;2003;1350.0;224000.0;0;1;74.0
13;2006;1350.0;240000.0;0;0;103.0
6;2003;1350.0;286532.0;0;1;105.0
12;2002;1350.0;202000.0;0;0;92.0
1;2005;1399.0;165000.0;0;0;47.0
0;1998;1399.0;229000.0;0;0;125.0
21;2008;1400.0;368561.0;0;1;66.0
6;2002;1400.0;299863.0;0;1;67.0
3;2007;1400.0;320000.0;1;1;125.0
6;2003;1400.0;326963.0;1;1;150.0
13;2003;1400.0;280000.0;1;0;110.0
12;2007;1400.0;210485.0;0;0;77.0
